problem,category,solution_hint
"Find all prime numbers p such that p^2 + 2 is also prime.",Number Theory,Check p=3 gives 11 which is prime; show others fail mod 3.
"Prove that for any integer n, n^3 - n is divisible by 6.",Number Theory,Factor as n(n-1)(n+1) — product of 3 consecutive integers.
"If p and q are primes and p + q = 100, find all possible pairs (p, q).",Number Theory,One must be 2 since sum is even; check 2+98 (not prime) then 97+3 etc.
"Show that there are infinitely many primes of the form 4k+3.",Number Theory,Adapt Euclid's proof assuming finitely many and derive contradiction.
"Find all integers n such that n^2 + n + 41 is not prime.",Number Theory,The expression fails when n is a multiple of 41.
"Prove that sqrt(2) is irrational.",Number Theory,Assume p/q in lowest terms; derive contradiction via parity argument.
"How many trailing zeros does 100! have?",Number Theory,Count factors of 5: floor(100/5)+floor(100/25)=24.
"Find all solutions to x^2 ≡ -1 (mod p) for prime p.",Number Theory,Solutions exist iff p=2 or p≡1 mod 4.
"Prove that gcd(a,b)*lcm(a,b) = a*b.",Number Theory,Express via prime factorisation and use min/max exponent rules.
"Show that every even integer > 2 can be written as sum of two primes (Goldbach for small cases).",Number Theory,Verify for small even numbers by enumeration.
"For triangle ABC, prove that the sum of angles equals 180 degrees.",Geometry,Draw line through A parallel to BC and use alternate interior angles.
"In a right triangle with legs a and b and hypotenuse c, prove a^2 + b^2 = c^2.",Geometry,Use area method or similar triangles from altitude to hypotenuse.
"Prove that the three altitudes of a triangle are concurrent.",Geometry,Use the fact that orthocentre exists via Ceva's theorem.
"Find the area of a regular hexagon with side length s.",Geometry,Divide into 6 equilateral triangles each with area (sqrt(3)/4)s^2.
"Prove that opposite angles of a cyclic quadrilateral sum to 180 degrees.",Geometry,Both angles subtend arcs that together form the full circle.
"In circle with centre O, prove that the angle at centre is twice the angle at circumference.",Geometry,Draw radius to the chord and use isoceles triangle properties.
"Show that the medians of a triangle intersect at the centroid dividing each in ratio 2:1.",Geometry,Use vectors with centroid at (A+B+C)/3.
"Find the radius of the inscribed circle of a triangle with sides 3, 4, 5.",Geometry,r = Area/s where s is semi-perimeter; Area=6, s=6, so r=1.
"Prove that in any triangle, the longest side is opposite the largest angle.",Geometry,Use the law of sines: a/sin(A) = 2R.
"Two circles intersect at points P and Q. Prove PQ is perpendicular to the line of centres.",Geometry,Centres and intersection points form a kite; diagonals of kite are perpendicular.
"Find the sum of the infinite geometric series 1 + 1/2 + 1/4 + 1/8 + ...",Algebra,Use formula S = a/(1-r) with a=1, r=1/2 giving S=2.
"Solve: x^4 - 5x^2 + 6 = 0.",Algebra,Let y=x^2; solve y^2-5y+6=0 giving y=2 or y=3.
"If a + b + c = 0, prove that a^3 + b^3 + c^3 = 3abc.",Algebra,Use the identity a^3+b^3+c^3-3abc=(a+b+c)(a^2+b^2+c^2-ab-bc-ca).
"Find all real solutions to |x - 3| + |x + 2| = 7.",Algebra,Consider three cases: x<-2, -2≤x<3, x≥3.
"Prove the AM-GM inequality: (a+b)/2 ≥ sqrt(ab) for non-negative a,b.",Algebra,(sqrt(a)-sqrt(b))^2 ≥ 0 expands to give the result.
"For what values of k does kx^2 + 6x + k = 0 have two distinct real roots?",Algebra,Discriminant 36-4k^2 > 0 gives -3 < k < 3 (k≠0).
"Simplify: (x^2-1)/(x^2-x) for x≠0,1.",Algebra,Factor numerator as (x-1)(x+1) and denominator as x(x-1) to get (x+1)/x.
"If f(x) = 2x + 3 and g(x) = x^2, find f(g(x)) and g(f(x)).",Algebra,f(g(x))=2x^2+3 and g(f(x))=(2x+3)^2=4x^2+12x+9.
"Solve the system: 2x + 3y = 12, 4x - y = 5.",Algebra,From second: y=4x-5; substitute: 2x+3(4x-5)=12 giving x=27/14.
"Prove that the sum of roots of ax^2+bx+c=0 is -b/a.",Algebra,If roots are r1,r2 then (x-r1)(x-r2)=x^2-(r1+r2)x+r1*r2; compare with x^2+bx/a+c/a.
"In how many ways can 5 people sit in a row?",Combinatorics,5! = 120.
"How many subsets does a set with n elements have?",Combinatorics,Each element is either in or out: 2^n subsets.
